model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
TabTransformer,gender,Female,8158,0.11142436871782299,0.20107547759628347,0.3872387238723872,0.19642857142857142,0.4499999999999999
TabTransformer,gender,Male,7105,0.10921885995777621,0.23705941548416717,0.38788659793814434,0.2083044982698962,0.4499999999999999
TabM,age,[0-10),28,0.0,,0.0,0.0,0.3999999999999999
TabM,age,[10-20),101,0.06930693069306931,0.11728227784224685,0.2857142857142857,0.13333333333333333,0.3999999999999999
TabM,age,[20-30),233,0.08583690987124463,0.11729723772386103,0.2,0.0851063829787234,0.3999999999999999
TabM,age,[30-40),527,0.09487666034155598,0.3357509600603972,0.68,0.2328767123287671,0.3999999999999999
TabM,age,[40-50),1468,0.11307901907356949,0.28180093736454936,0.46987951807228917,0.2025974025974026,0.3999999999999999
TabM,age,[50-60),2553,0.09479044261652958,0.21304257456785253,0.49173553719008267,0.1794871794871795,0.3999999999999999
TabM,age,[60-70),3478,0.11242093156986774,0.2501302041238789,0.5089514066496164,0.19567354965585054,0.3999999999999999
TabM,age,[70-80),3838,0.11594580510682648,0.19504067504215541,0.4584269662921348,0.1837837837837838,0.3999999999999999
TabM,age,[80-90),2638,0.1197877179681577,0.20900000018002116,0.5126582278481012,0.17880794701986755,0.3999999999999999
TabM,age,[90-100),399,0.12030075187969924,0.13751433939565094,0.3125,0.14705882352941177,0.3999999999999999
TabM,gender,Female,8158,0.11142436871782299,0.2130481815532283,0.4884488448844885,0.18734177215189873,0.3999999999999999
TabM,gender,Male,7105,0.10921885995777621,0.22976286081269665,0.4806701030927835,0.18437963420662382,0.3999999999999999
TabNet,age,[0-10),28,0.0,,0.0,0.0,0.5499999999999999
TabNet,age,[10-20),101,0.06930693069306931,0.1177982083922678,0.2857142857142857,0.14285714285714285,0.5499999999999999
TabNet,age,[20-30),233,0.08583690987124463,0.10446476082717004,0.25,0.1111111111111111,0.5499999999999999
TabNet,age,[30-40),527,0.09487666034155598,0.3081880308967894,0.7,0.24475524475524477,0.5499999999999999
TabNet,age,[40-50),1468,0.11307901907356949,0.24463204516891834,0.4759036144578313,0.17995444191343962,0.5499999999999999
TabNet,age,[50-60),2553,0.09479044261652958,0.17441892957589936,0.5041322314049587,0.18236173393124067,0.5499999999999999
TabNet,age,[60-70),3478,0.11242093156986774,0.20032393711158838,0.4961636828644501,0.18564593301435406,0.5499999999999999
TabNet,age,[70-80),3838,0.11594580510682648,0.17580419044958992,0.43595505617977526,0.1552,0.5499999999999999
TabNet,age,[80-90),2638,0.1197877179681577,0.18963890377262843,0.4936708860759494,0.15950920245398773,0.5499999999999999
TabNet,age,[90-100),399,0.12030075187969924,0.157595743925889,0.3958333333333333,0.13380281690140844,0.5499999999999999
TabNet,gender,Female,8158,0.11142436871782299,0.18396821024501026,0.48404840484048406,0.17054263565891473,0.5499999999999999
TabNet,gender,Male,7105,0.10921885995777621,0.20076968504326237,0.47164948453608246,0.17062937062937064,0.5499999999999999
XGBoost+TabNet,age,[0-10),28,0.0,,0.0,0.0,0.5199999999999999
XGBoost+TabNet,age,[10-20),101,0.06930693069306931,0.11856099368988907,0.2857142857142857,0.16666666666666666,0.5199999999999999
XGBoost+TabNet,age,[20-30),233,0.08583690987124463,0.1104244404744911,0.2,0.13793103448275862,0.5199999999999999
XGBoost+TabNet,age,[30-40),527,0.09487666034155598,0.32278202711824866,0.56,0.3181818181818182,0.5199999999999999
XGBoost+TabNet,age,[40-50),1468,0.11307901907356949,0.2751221142682893,0.35542168674698793,0.26222222222222225,0.5199999999999999
XGBoost+TabNet,age,[50-60),2553,0.09479044261652958,0.19817931888568827,0.34297520661157027,0.2144702842377261,0.5199999999999999
XGBoost+TabNet,age,[60-70),3478,0.11242093156986774,0.24386833607046654,0.37084398976982097,0.22906793048973143,0.5199999999999999
XGBoost+TabNet,age,[70-80),3838,0.11594580510682648,0.21041828242730906,0.3393258426966292,0.20600272851296045,0.5199999999999999
XGBoost+TabNet,age,[80-90),2638,0.1197877179681577,0.1974944756385782,0.35443037974683544,0.1968365553602812,0.5199999999999999
XGBoost+TabNet,age,[90-100),399,0.12030075187969924,0.15460190189770118,0.2708333333333333,0.19696969696969696,0.5199999999999999
XGBoost+TabNet,gender,Female,8158,0.11142436871782299,0.202619796927732,0.35973597359735976,0.21484888304862024,0.5199999999999999
XGBoost+TabNet,gender,Male,7105,0.10921885995777621,0.23729892204953748,0.3479381443298969,0.22131147540983606,0.5199999999999999
XGBoost+LightGBM,age,[0-10),28,0.0,,0.0,0.0,0.48999999999999994
XGBoost+LightGBM,age,[10-20),101,0.06930693069306931,0.1258213582462688,0.42857142857142855,0.21428571428571427,0.48999999999999994
XGBoost+LightGBM,age,[20-30),233,0.08583690987124463,0.10984444264666714,0.2,0.125,0.48999999999999994
XGBoost+LightGBM,age,[30-40),527,0.09487666034155598,0.32128278599387755,0.56,0.27184466019417475,0.48999999999999994
XGBoost+LightGBM,age,[40-50),1468,0.11307901907356949,0.27033904776234574,0.40963855421686746,0.25660377358490566,0.48999999999999994
XGBoost+LightGBM,age,[50-60),2553,0.09479044261652958,0.19853286359528802,0.371900826446281,0.19823788546255505,0.48999999999999994
XGBoost+LightGBM,age,[60-70),3478,0.11242093156986774,0.24810711621046577,0.42455242966751916,0.21842105263157896,0.48999999999999994
XGBoost+LightGBM,age,[70-80),3838,0.11594580510682648,0.21041640732118772,0.39101123595505616,0.19419642857142858,0.48999999999999994
XGBoost+LightGBM,age,[80-90),2638,0.1197877179681577,0.19746230077987043,0.41455696202531644,0.18373071528751753,0.48999999999999994
XGBoost+LightGBM,age,[90-100),399,0.12030075187969924,0.15175898672943175,0.3333333333333333,0.1839080459770115,0.48999999999999994
XGBoost+LightGBM,gender,Female,8158,0.11142436871782299,0.20328095603933743,0.40594059405940597,0.1993517017828201,0.48999999999999994
XGBoost+LightGBM,gender,Male,7105,0.10921885995777621,0.2390577888314193,0.4007731958762887,0.2111337406653089,0.48999999999999994
XGBoost+CatBoost,age,[0-10),28,0.0,,0.0,0.0,0.5549999999999999
XGBoost+CatBoost,age,[10-20),101,0.06930693069306931,0.1188327446189997,0.2857142857142857,0.14285714285714285,0.5549999999999999
XGBoost+CatBoost,age,[20-30),233,0.08583690987124463,0.11474446629048454,0.15,0.11538461538461539,0.5549999999999999
XGBoost+CatBoost,age,[30-40),527,0.09487666034155598,0.33084649377328995,0.58,0.29292929292929293,0.5549999999999999
XGBoost+CatBoost,age,[40-50),1468,0.11307901907356949,0.27476041339290386,0.3855421686746988,0.25806451612903225,0.5549999999999999
XGBoost+CatBoost,age,[50-60),2553,0.09479044261652958,0.2007645732457943,0.34297520661157027,0.20393120393120392,0.5549999999999999
XGBoost+CatBoost,age,[60-70),3478,0.11242093156986774,0.25063251658733326,0.3989769820971867,0.22641509433962265,0.5549999999999999
XGBoost+CatBoost,age,[70-80),3838,0.11594580510682648,0.20759668201722573,0.3797752808988764,0.20336943441636582,0.5549999999999999
XGBoost+CatBoost,age,[80-90),2638,0.1197877179681577,0.20378335409704898,0.370253164556962,0.1822429906542056,0.5549999999999999
XGBoost+CatBoost,age,[90-100),399,0.12030075187969924,0.14485138340998996,0.25,0.17391304347826086,0.5549999999999999
XGBoost+CatBoost,gender,Female,8158,0.11142436871782299,0.20568940278646866,0.38283828382838286,0.20763723150357996,0.5549999999999999
XGBoost+CatBoost,gender,Male,7105,0.10921885995777621,0.23984604069410476,0.3698453608247423,0.2127501853224611,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[0-10),28,0.0,,0.0,0.0,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[10-20),101,0.06930693069306931,0.1189683684888008,0.2857142857142857,0.14285714285714285,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[20-30),233,0.08583690987124463,0.11459762523453092,0.15,0.12,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[30-40),527,0.09487666034155598,0.331340701962208,0.56,0.2857142857142857,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[40-50),1468,0.11307901907356949,0.27417567392538933,0.3855421686746988,0.2591093117408907,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[50-60),2553,0.09479044261652958,0.20269172816538827,0.33884297520661155,0.20246913580246914,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[60-70),3478,0.11242093156986774,0.25117737859570993,0.3938618925831202,0.22514619883040934,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[70-80),3838,0.11594580510682648,0.20747045586199822,0.3775280898876405,0.20314389359129384,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[80-90),2638,0.1197877179681577,0.20378384125953056,0.37341772151898733,0.1838006230529595,0.5549999999999999
XGBoost+LightGBM+CatBoost,age,[90-100),399,0.12030075187969924,0.14486575763473458,0.25,0.17391304347826086,0.5549999999999999
XGBoost+LightGBM+CatBoost,gender,Female,8158,0.11142436871782299,0.20572562608447742,0.38063806380638066,0.2069377990430622,0.5549999999999999
XGBoost+LightGBM+CatBoost,gender,Male,7105,0.10921885995777621,0.2399925500600067,0.36726804123711343,0.2128454070201643,0.5549999999999999
XGBoost+TabTransformer,age,[0-10),28,0.0,,0.0,0.0,0.4699999999999999
XGBoost+TabTransformer,age,[10-20),101,0.06930693069306931,0.11311185393697709,0.2857142857142857,0.16666666666666666,0.4699999999999999
XGBoost+TabTransformer,age,[20-30),233,0.08583690987124463,0.10589322636719484,0.2,0.12121212121212122,0.4699999999999999
XGBoost+TabTransformer,age,[30-40),527,0.09487666034155598,0.3399356426408596,0.58,0.30526315789473685,0.4699999999999999
XGBoost+TabTransformer,age,[40-50),1468,0.11307901907356949,0.28881496814670354,0.3855421686746988,0.26229508196721313,0.4699999999999999
XGBoost+TabTransformer,age,[50-60),2553,0.09479044261652958,0.21085265981541648,0.36363636363636365,0.20465116279069767,0.4699999999999999
XGBoost+TabTransformer,age,[60-70),3478,0.11242093156986774,0.25553429568447183,0.40153452685422,0.22143864598025387,0.4699999999999999
XGBoost+TabTransformer,age,[70-80),3838,0.11594580510682648,0.20176702359241738,0.35730337078651686,0.20463320463320464,0.4699999999999999
XGBoost+TabTransformer,age,[80-90),2638,0.1197877179681577,0.20401214669316592,0.3639240506329114,0.19166666666666668,0.4699999999999999
XGBoost+TabTransformer,age,[90-100),399,0.12030075187969924,0.15685565293009357,0.2708333333333333,0.17567567567567569,0.4699999999999999
XGBoost+TabTransformer,gender,Female,8158,0.11142436871782299,0.20817582576793162,0.3773377337733773,0.20675105485232068,0.4699999999999999
XGBoost+TabTransformer,gender,Male,7105,0.10921885995777621,0.24557706281715624,0.3711340206185567,0.21901140684410647,0.4699999999999999
XGBoost+TabM,age,[0-10),28,0.0,,0.0,0.0,0.44499999999999995
XGBoost+TabM,age,[10-20),101,0.06930693069306931,0.11744594004929547,0.2857142857142857,0.15384615384615385,0.44499999999999995
XGBoost+TabM,age,[20-30),233,0.08583690987124463,0.11287865588387629,0.2,0.13333333333333333,0.44499999999999995
XGBoost+TabM,age,[30-40),527,0.09487666034155598,0.3339993681937642,0.58,0.30851063829787234,0.44499999999999995
XGBoost+TabM,age,[40-50),1468,0.11307901907356949,0.281255217486819,0.37349397590361444,0.24899598393574296,0.44499999999999995
XGBoost+TabM,age,[50-60),2553,0.09479044261652958,0.20853586180765032,0.3512396694214876,0.20094562647754138,0.44499999999999995
XGBoost+TabM,age,[60-70),3478,0.11242093156986774,0.2534165302966974,0.40153452685422,0.2305433186490455,0.44499999999999995
XGBoost+TabM,age,[70-80),3838,0.11594580510682648,0.20839004613835857,0.3393258426966292,0.20160213618157544,0.44499999999999995
XGBoost+TabM,age,[80-90),2638,0.1197877179681577,0.20188602471130163,0.370253164556962,0.2,0.44499999999999995
XGBoost+TabM,age,[90-100),399,0.12030075187969924,0.14760338959463137,0.25,0.18461538461538463,0.44499999999999995
XGBoost+TabM,gender,Female,8158,0.11142436871782299,0.21128572127663364,0.3718371837183718,0.2139240506329114,0.44499999999999995
XGBoost+TabM,gender,Male,7105,0.10921885995777621,0.23873503156566217,0.36211340206185566,0.21466768525592056,0.44499999999999995
XGBoost+BestDeep(TabTransformer),age,[0-10),28,0.0,,0.0,0.0,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[10-20),101,0.06930693069306931,0.11311185393697709,0.2857142857142857,0.16666666666666666,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[20-30),233,0.08583690987124463,0.10589322636719484,0.2,0.12121212121212122,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[30-40),527,0.09487666034155598,0.3399356426408596,0.58,0.30526315789473685,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[40-50),1468,0.11307901907356949,0.28881496814670354,0.3855421686746988,0.26229508196721313,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[50-60),2553,0.09479044261652958,0.21085265981541648,0.36363636363636365,0.20465116279069767,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[60-70),3478,0.11242093156986774,0.25553429568447183,0.40153452685422,0.22143864598025387,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[70-80),3838,0.11594580510682648,0.20176702359241738,0.35730337078651686,0.20463320463320464,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[80-90),2638,0.1197877179681577,0.20401214669316592,0.3639240506329114,0.19166666666666668,0.4699999999999999
XGBoost+BestDeep(TabTransformer),age,[90-100),399,0.12030075187969924,0.15685565293009357,0.2708333333333333,0.17567567567567569,0.4699999999999999
XGBoost+BestDeep(TabTransformer),gender,Female,8158,0.11142436871782299,0.20817582576793162,0.3773377337733773,0.20675105485232068,0.4699999999999999
XGBoost+BestDeep(TabTransformer),gender,Male,7105,0.10921885995777621,0.24557706281715624,0.3711340206185567,0.21901140684410647,0.4699999999999999
AllAvailableModels,age,[0-10),28,0.0,,0.0,0.0,0.42499999999999993
AllAvailableModels,age,[10-20),101,0.06930693069306931,0.11539979940742308,0.14285714285714285,0.1,0.42499999999999993
AllAvailableModels,age,[20-30),233,0.08583690987124463,0.11000472990215444,0.15,0.10714285714285714,0.42499999999999993
AllAvailableModels,age,[30-40),527,0.09487666034155598,0.34508338294764984,0.58,0.3020833333333333,0.42499999999999993
AllAvailableModels,age,[40-50),1468,0.11307901907356949,0.28859122904158063,0.3855421686746988,0.26229508196721313,0.42499999999999993
AllAvailableModels,age,[50-60),2553,0.09479044261652958,0.21305464136486846,0.36363636363636365,0.21359223300970873,0.42499999999999993
AllAvailableModels,age,[60-70),3478,0.11242093156986774,0.2566547087865581,0.40664961636828645,0.23348017621145375,0.42499999999999993
AllAvailableModels,age,[70-80),3838,0.11594580510682648,0.20093991244287285,0.34606741573033706,0.2026315789473684,0.42499999999999993
AllAvailableModels,age,[80-90),2638,0.1197877179681577,0.2068608997090061,0.34177215189873417,0.1875,0.42499999999999993
AllAvailableModels,age,[90-100),399,0.12030075187969924,0.15022509087038924,0.20833333333333334,0.15625,0.42499999999999993
AllAvailableModels,gender,Female,8158,0.11142436871782299,0.2103779735930606,0.36303630363036304,0.2096569250317662,0.42499999999999993
AllAvailableModels,gender,Male,7105,0.10921885995777621,0.24573289686322317,0.36855670103092786,0.220508866615266,0.42499999999999993
Stacking LogReg C=0.1,age,[0-10),28,0.0,,0.0,0.0,0.595
Stacking LogReg C=0.1,age,[10-20),101,0.06930693069306931,0.12052293010227347,0.2857142857142857,0.14285714285714285,0.595
Stacking LogReg C=0.1,age,[20-30),233,0.08583690987124463,0.11331583706017485,0.1,0.07407407407407407,0.595
Stacking LogReg C=0.1,age,[30-40),527,0.09487666034155598,0.3265916867307323,0.58,0.29292929292929293,0.595
Stacking LogReg C=0.1,age,[40-50),1468,0.11307901907356949,0.28355377792026293,0.3855421686746988,0.25396825396825395,0.595
Stacking LogReg C=0.1,age,[50-60),2553,0.09479044261652958,0.21000244403299057,0.34710743801652894,0.2,0.595
Stacking LogReg C=0.1,age,[60-70),3478,0.11242093156986774,0.2523589048644005,0.38107416879795397,0.22644376899696048,0.595
Stacking LogReg C=0.1,age,[70-80),3838,0.11594580510682648,0.20783433512091193,0.36179775280898874,0.20854922279792745,0.595
Stacking LogReg C=0.1,age,[80-90),2638,0.1197877179681577,0.20779820356630233,0.3575949367088608,0.19250425894378195,0.595
Stacking LogReg C=0.1,age,[90-100),399,0.12030075187969924,0.14575899130066527,0.1875,0.15,0.595
Stacking LogReg C=0.1,gender,Female,8158,0.11142436871782299,0.21127259973011245,0.36743674367436746,0.21139240506329113,0.595
Stacking LogReg C=0.1,gender,Male,7105,0.10921885995777621,0.24251973644523314,0.3595360824742268,0.2131398013750955,0.595
Stacking LogReg C=1,age,[0-10),28,0.0,,0.0,0.0,0.595
Stacking LogReg C=1,age,[10-20),101,0.06930693069306931,0.12083954611037882,0.2857142857142857,0.14285714285714285,0.595
