model,attribute,group,n,positive_rate,pr_auc,recall,precision,threshold
LightGBM,gender,Female,8168,0.11287952987267386,0.2329043640224711,0.36225596529284165,0.22908093278463648,0.27499999999999997
LightGBM,gender,Male,7096,0.11006200676437429,0.222061466150264,0.33418693982074266,0.216597510373444,0.27499999999999997
CatBoost,age,[0-10),26,0.0,,0.0,0.0,0.145
CatBoost,age,[10-20),95,0.06315789473684211,0.19115942028985505,0.3333333333333333,0.2857142857142857,0.145
CatBoost,age,[20-30),248,0.1532258064516129,0.4875044557940323,0.7894736842105263,0.45454545454545453,0.145
CatBoost,age,[30-40),564,0.10815602836879433,0.27900261047221825,0.4262295081967213,0.24761904761904763,0.145
CatBoost,age,[40-50),1401,0.10278372591006424,0.28170565658480007,0.5069444444444444,0.23548387096774193,0.145
CatBoost,age,[50-60),2600,0.09192307692307693,0.22552283548241325,0.37656903765690375,0.21479713603818615,0.145
CatBoost,age,[60-70),3405,0.11600587371512482,0.23667239066720516,0.369620253164557,0.21726190476190477,0.145
CatBoost,age,[70-80),3966,0.11699445284921836,0.21626816318040212,0.38146551724137934,0.19536423841059603,0.145
CatBoost,age,[80-90),2544,0.11988993710691824,0.20549770820623983,0.3704918032786885,0.18801996672212978,0.145
CatBoost,age,[90-100),416,0.12259615384615384,0.22087842482615277,0.35294117647058826,0.20689655172413793,0.145
CatBoost,gender,Female,8168,0.11287952987267386,0.2332009698968799,0.4067245119305857,0.2198124267291911,0.145
CatBoost,gender,Male,7096,0.11006200676437429,0.23155103449067105,0.38412291933418696,0.20449897750511248,0.145
MLP,age,[0-10),26,0.0,,0.0,0.0,0.4649999999999999
MLP,age,[10-20),95,0.06315789473684211,0.13031799641706762,0.16666666666666666,0.14285714285714285,0.4649999999999999
MLP,age,[20-30),248,0.1532258064516129,0.46941408406497953,0.631578947368421,0.36923076923076925,0.4649999999999999
MLP,age,[30-40),564,0.10815602836879433,0.2582542130654209,0.39344262295081966,0.2727272727272727,0.4649999999999999
MLP,age,[40-50),1401,0.10278372591006424,0.2562890746996526,0.5,0.2408026755852843,0.4649999999999999
MLP,age,[50-60),2600,0.09192307692307693,0.20581740127982617,0.3179916317991632,0.19095477386934673,0.4649999999999999
MLP,age,[60-70),3405,0.11600587371512482,0.2461010279870655,0.33164556962025316,0.2356115107913669,0.4649999999999999
MLP,age,[70-80),3966,0.11699445284921836,0.20408543596826484,0.31896551724137934,0.19525065963060687,0.4649999999999999
MLP,age,[80-90),2544,0.11988993710691824,0.19296275898456142,0.2819672131147541,0.1963470319634703,0.4649999999999999
MLP,age,[90-100),416,0.12259615384615384,0.17462063036092032,0.17647058823529413,0.2,0.4649999999999999
MLP,gender,Female,8168,0.11287952987267386,0.22615753101886826,0.3579175704989154,0.22433718558803534,0.4649999999999999
MLP,gender,Male,7096,0.11006200676437429,0.21282630243406953,0.3085787451984635,0.2037193575655114,0.4649999999999999
TabTransformer,age,[0-10),26,0.0,,0.0,0.0,0.42999999999999994
TabTransformer,age,[10-20),95,0.06315789473684211,0.1869238472014247,0.3333333333333333,0.25,0.42999999999999994
TabTransformer,age,[20-30),248,0.1532258064516129,0.5079583911672336,0.7894736842105263,0.38461538461538464,0.42999999999999994
TabTransformer,age,[30-40),564,0.10815602836879433,0.2740626806245847,0.4918032786885246,0.24793388429752067,0.42999999999999994
TabTransformer,age,[40-50),1401,0.10278372591006424,0.23630567802750693,0.4444444444444444,0.19161676646706588,0.42999999999999994
TabTransformer,age,[50-60),2600,0.09192307692307693,0.19096928292256327,0.35564853556485354,0.19187358916478556,0.42999999999999994
TabTransformer,age,[60-70),3405,0.11600587371512482,0.237574681148794,0.379746835443038,0.22658610271903323,0.42999999999999994
TabTransformer,age,[70-80),3966,0.11699445284921836,0.2010042903903344,0.36853448275862066,0.1923509561304837,0.42999999999999994
TabTransformer,age,[80-90),2544,0.11988993710691824,0.20107945215981332,0.3180327868852459,0.1840607210626186,0.42999999999999994
TabTransformer,age,[90-100),416,0.12259615384615384,0.1832899833549183,0.23529411764705882,0.21428571428571427,0.42999999999999994
TabTransformer,gender,Female,8168,0.11287952987267386,0.222863989182562,0.39370932754880694,0.22188264058679708,0.42999999999999994
TabTransformer,gender,Male,7096,0.11006200676437429,0.2117515468952108,0.3559539052496799,0.18758434547908232,0.42999999999999994
TabM,age,[0-10),26,0.0,,0.0,0.0,0.42499999999999993
TabM,age,[10-20),95,0.06315789473684211,0.12912779708554356,0.16666666666666666,0.1111111111111111,0.42499999999999993
TabM,age,[20-30),248,0.1532258064516129,0.4803268658013715,0.7105263157894737,0.375,0.42499999999999993
TabM,age,[30-40),564,0.10815602836879433,0.25250831061314993,0.45901639344262296,0.25,0.42499999999999993
TabM,age,[40-50),1401,0.10278372591006424,0.25315172597906577,0.5208333333333334,0.211864406779661,0.42499999999999993
TabM,age,[50-60),2600,0.09192307692307693,0.20306872603630693,0.3514644351464435,0.18181818181818182,0.42499999999999993
TabM,age,[60-70),3405,0.11600587371512482,0.24279367480690162,0.3924050632911392,0.22794117647058823,0.42499999999999993
TabM,age,[70-80),3966,0.11699445284921836,0.2084594662691626,0.3900862068965517,0.194206008583691,0.42499999999999993
TabM,age,[80-90),2544,0.11988993710691824,0.19125300886316585,0.36065573770491804,0.19230769230769232,0.42499999999999993
TabM,age,[90-100),416,0.12259615384615384,0.1749817497900028,0.2549019607843137,0.17567567567567569,0.42499999999999993
TabM,gender,Female,8168,0.11287952987267386,0.22506474002014515,0.40997830802603036,0.21624713958810068,0.42499999999999993
TabM,gender,Male,7096,0.11006200676437429,0.21636113416401648,0.37900128040973113,0.19486504279131006,0.42499999999999993
TabNet,age,[0-10),26,0.0,,0.0,0.0,0.25499999999999995
TabNet,age,[10-20),95,0.06315789473684211,0.10972861626090442,0.0,0.0,0.25499999999999995
TabNet,age,[20-30),248,0.1532258064516129,0.4291144806615626,0.6052631578947368,0.27380952380952384,0.25499999999999995
TabNet,age,[30-40),564,0.10815602836879433,0.19229985363263183,0.4262295081967213,0.1566265060240964,0.25499999999999995
TabNet,age,[40-50),1401,0.10278372591006424,0.22016188195291783,0.5486111111111112,0.16808510638297872,0.25499999999999995
TabNet,age,[50-60),2600,0.09192307692307693,0.18076242933243675,0.5523012552301255,0.14489571899012074,0.25499999999999995
TabNet,age,[60-70),3405,0.11600587371512482,0.20422156254110393,0.5518987341772152,0.1649016641452345,0.25499999999999995
TabNet,age,[70-80),3966,0.11699445284921836,0.1712957200626231,0.6120689655172413,0.15451577801958652,0.25499999999999995
TabNet,age,[80-90),2544,0.11988993710691824,0.1549005357806299,0.6459016393442623,0.1440058479532164,0.25499999999999995
TabNet,age,[90-100),416,0.12259615384615384,0.13452693380690167,0.5882352941176471,0.11952191235059761,0.25499999999999995
TabNet,gender,Female,8168,0.11287952987267386,0.19807154125163312,0.6268980477223427,0.1578372474057892,0.25499999999999995
TabNet,gender,Male,7096,0.11006200676437429,0.1689031410665063,0.5262483994878361,0.1487513572204126,0.25499999999999995
XGBoost+TabNet,age,[0-10),26,0.0,,0.0,0.0,0.4049999999999999
XGBoost+TabNet,age,[10-20),95,0.06315789473684211,0.20848687623197426,0.16666666666666666,0.2,0.4049999999999999
XGBoost+TabNet,age,[20-30),248,0.1532258064516129,0.4737982609519957,0.7631578947368421,0.3972602739726027,0.4049999999999999
XGBoost+TabNet,age,[30-40),564,0.10815602836879433,0.2427079786184182,0.3770491803278688,0.22549019607843138,0.4049999999999999
XGBoost+TabNet,age,[40-50),1401,0.10278372591006424,0.2720416665969029,0.4930555555555556,0.2268370607028754,0.4049999999999999
XGBoost+TabNet,age,[50-60),2600,0.09192307692307693,0.2213359736528825,0.35564853556485354,0.21573604060913706,0.4049999999999999
XGBoost+TabNet,age,[60-70),3405,0.11600587371512482,0.24263647218925155,0.3949367088607595,0.23780487804878048,0.4049999999999999
XGBoost+TabNet,age,[70-80),3966,0.11699445284921836,0.21327332770153618,0.3900862068965517,0.2026875699888018,0.4049999999999999
